zip,count,dollars,latitude,longitude
01760,20,1316,42.2875,-71.3574
01770,3,120,42.2331,-71.3787
01772,8,495,42.2939,-71.532
01773,11,1425,42.4217,-71.3137
01775,18,1292,42.4308,-71.515
01776,13,1855,42.3837,-71.4282
01778,13,1080,42.3486,-71.3588
01801,12,475,42.4829,-71.1574
01803,10,455,42.5089,-71.2004
01810,27,2590,42.6496,-71.1565
01821,12,870,42.5519,-71.2518
01824,9,695,42.5911,-71.3556
01826,4,160,42.6764,-71.3186
01827,2,200,42.6739,-71.4952
01830,5,155,42.7856,-71.0721
01832,3,150,42.7792,-71.1095
01833,1,25,42.7281,-70.9822
01834,1,25,42.753,-71.027
01835,5,155,42.7528,-71.0843
01841,2,110,42.7115,-71.167
01843,2,20,42.6911,-71.1605
01845,13,760,42.6826,-71.109
01850,2,60,42.656000000000006,-71.3051
01851,8,610,42.6315,-71.3329
01852,9,710,42.6344,-71.2983
01853,1,25,42.4464,-71.4594
01854,6,205,42.6493,-71.3355
01860,9,525,42.8346,-71.0047
01862,5,910,42.5757,-71.2902
01863,3,70,42.6347,-71.3908
01864,2,100,42.5819,-71.0947
01867,12,470,42.528,-71.109
01876,4,135,42.6028,-71.2232
01879,2,10,42.6724,-71.4158
01880,12,670,42.5009,-71.0685
01886,12,565,42.5864,-71.4401
01887,6,320,42.5581,-71.1723
01890,19,2489,42.453,-71.1441
01902,2,60,42.4698,-70.942
01903,1,50,42.6354,-70.8791
01904,3,160,42.4889,-70.9647
01905,2,35,42.4694,-70.9728
01906,2,20,42.4633,-71.0111
01907,5,185,42.4746,-70.9098
01908,5,500,42.4261,-70.9277
01913,10,485,42.8559,-70.9367
01915,18,876,42.5608,-70.8759
01921,11,680,42.6797,-71.0114
01922,1,10,42.7568,-70.9351
01923,7,200,42.5694,-70.9425
01929,2,20,42.6286,-70.7828
01930,29,1636,42.6208,-70.6721
01936,2,1025,42.6354,-70.8791
01938,9,2050,42.6809,-70.8494
01940,1,25,42.5327,-71.0339
01944,5,310,42.5796,-70.7674
01945,15,1390,42.4984,-70.8653
01949,1,25,42.5942,-71.013
01950,11,734,42.813,-70.8847
01951,2,110,42.7835,-70.8474
01954,1,25,,
01960,3,60,42.5326,-70.9612
01965,1,25,42.5581,-70.8257
01966,9,328,42.658,-70.6194
01969,3,125,42.7138,-70.907
01970,22,1547,42.5151,-70.9003
01982,4,585,42.6185,-70.8561
01983,1,100,42.6415,-70.9488
01985,3,131,42.7949,-70.9778
02008,1,50,,
02010,3,160,,
02011,1,100,,
02016,1,10,,
02019,1,10,42.0746,-71.4768
02021,10,905,42.1645,-71.1355
02025,3,135,42.2395,-70.8128
02026,10,595,42.2437,-71.1637
02030,3,225,42.2362,-71.2854
02031,1,100,41.9988,-71.2009
02032,1,25,42.1532,-71.2179
02035,4,125,42.0649,-71.2441
02038,9,510,42.0935,-71.4058
02042,1,100,,
02043,8,1625,42.2245,-70.8911
02045,4,185,42.2853,-70.8754
02048,4,190,42.0212,-71.2178
02050,3,45,42.1062,-70.6993
02052,7,400,42.1845,-71.3048
02053,6,350,42.1514,-71.4217
02054,4,620,42.1669,-71.3607
02056,4,1600,42.1177,-71.3269
02061,2,125,42.1596,-70.8217
02062,7,485,42.1868,-71.2033
02066,7,180,42.2032,-70.7525
02067,9,755,42.1094,-71.1759
02070,1,25,42.18,-71.0892
02072,8,291,42.1253,-71.1074
02081,1,50,42.1444,-71.2544
02090,9,265,42.2148,-71.2104
02093,1,10,42.0617,-71.3396
02094,1,50,,
02108,7,2725,42.3576,-71.0684
02109,6,7236,42.36,-71.0545
02110,3,60,42.3576,-71.0514
02111,2,250300,42.3503,-71.0629
02112,1,100,42.3389,-70.9196
02113,11,320,42.3657,-71.056
02114,12,735,42.3611,-71.0682
02115,24,2150,42.3427,-71.0922
02116,26,2030,42.3492,-71.0768
02118,21,9190,42.3362,-71.0729
02119,12,295,42.3231,-71.0846
02120,4,185,42.3325,-71.0964
02121,1,10,42.3071,-71.0816
02122,9,660,42.2966,-71.0552
02124,18,1070,42.2868,-71.071
02125,5,245,42.3148,-71.0672
02126,3,225,42.2739,-71.0939
02127,14,980,42.3347,-71.0375
02128,7,550,42.3642,-71.0257
02129,5,435,42.3778,-71.0627
02130,107,8337,42.3126,-71.1115
02131,22,975,42.2836,-71.1295
02132,19,1675,42.2787,-71.1589
02134,47,2417,42.3535,-71.1329
02135,45,1656,42.3478,-71.1566
02136,4,275,42.254,-71.1261
02138,174,27583,42.376999999999995,-71.1256
02139,270,21429,42.3647,-71.1042
02140,98,11061,42.3932,-71.1338
02141,26,2261,42.3687,-71.0836
02142,13,1535,42.361999999999995,-71.083
02143,142,8847,42.3829,-71.1028
02144,136,16209,42.4003,-71.1221
02145,46,2691,42.3907,-71.0929
02148,16,692,42.4291,-71.0605
02149,5,391,42.4112,-71.0514
02150,4,110,42.3963,-71.0325
02151,7,160,42.4138,-71.0052
02152,10,435,42.3763,-70.98
02155,80,4067,42.4173,-71.1087
02162,1,10,42.3319,-71.25399999999999
02163,4,95,42.3253,-71.1122
02169,15,700,42.2491,-70.9978
02170,5,785,42.2671,-71.0186
02171,4,540,42.2825,-71.0241
02176,16,660,42.4581,-71.0632
02180,6,310,42.4828,-71.0978
02184,2,75,42.2093,-70.9963
02186,13,769,42.2537,-71.0771
02188,4,160,42.2113,-70.9582
02189,2,125,42.2116,-70.9317
02190,4,115,42.1728,-70.9487
02191,1,50,42.2436,-70.9443
02193,1,10,42.4464,-71.4594
02199,4,3125,42.3479,-71.0825
02205,2,150,42.3503,-71.0539
02210,7,260,42.3489,-71.0465
02212,2,15,42.4464,-71.4594
02215,16,665,42.3471,-71.1027
02256,1,50,,
02301,2,200,42.0794,-71.04
02302,2,20,42.0848,-71.0002
02322,1,25,42.1258,-71.0437
02324,2,110,41.9773,-70.9723
02330,2,55,41.8883,-70.7678
02332,2,75,42.0399,-70.7163
02333,1,10,42.0315,-70.945
02338,4,55,42.0002,-70.8448
02339,5,140,42.1214,-70.857
02343,1,25,42.1464,-71.0083
02345,1,50,41.8882,-70.581
02346,3,70,41.8884,-70.893
02351,1,25,42.1167,-70.9543
02356,2,1250,42.059,-71.1123
02360,11,555,41.9104,-70.642
02362,1,20,41.9705,-70.7014
02364,1,100,41.995,-70.741
02367,2,17,41.9655,-70.8046
02368,3,38,42.1736,-71.0514
02370,1,10,42.1293,-70.9133
02375,2,45,42.0257,-71.0988
02379,4,65,42.0255,-71.0161
02382,1,50,42.0816,-70.9381
02400,1,50,,
02420,21,1215,42.4563,-71.2166
02421,37,5170,42.4426,-71.2265
02445,45,5674,42.3259,-71.1341
02446,82,14124,42.3431,-71.123
02447,2,60,42.18,-71.0892
02451,19,1371,42.3986,-71.245
02452,10,2915,42.3943,-71.218
02453,16,553,42.3654,-71.2316
02458,14,838,42.3528,-71.1875
02459,39,3640,42.3341,-71.1833
02460,29,2257,42.352,-71.2084
02461,14,2065,42.3168,-71.2084
02464,6,495,42.3129,-71.2195
02465,21,1365,42.3492,-71.2267
02466,3,150,42.3441,-71.248
02467,16,790,42.3164,-71.1612
02468,15,1120,42.3271,-71.2315
02472,41,2910,42.37,-71.1773
02474,74,7558,42.4202,-71.1565
02476,60,4915,42.4162,-71.1752
02478,63,8588,42.4128,-71.2044
02481,13,12021,42.3106,-71.2747
02482,7,875,42.2945,-71.2992
02492,32,4243,42.2798,-71.2501
02493,11,960,42.3589,-71.3001
02494,9,849,42.2997,-71.2321
02532,1,50,41.7455,-70.5905
02535,2,150,41.3575,-70.7416
02536,4,2875,41.5968,-70.5671
02537,2,75,41.7283,-70.44
02539,2,15,41.3889,-70.5339
02540,4,1050,41.5648,-70.6217
02543,1,100,41.5263,-70.6643
02554,4,95,41.2725,-70.0932
02556,1,100,41.6417,-70.623
02557,5,445,41.4174,-70.56
02563,5,425,41.7113,-70.4775
02564,1,250,41.2739,-70.0155
02568,8,685,41.45,-70.5937
02575,1,10,41.4212,-70.6428
02584,3,250,41.2778,-70.046
02601,1,100,41.6601,-70.2967
02602,1,50,,
02617,1,100,,
02631,8,335,41.7492,-70.0699
02632,1,100,41.6606,-70.3532
02633,1,25,41.6889,-69.9722
02642,2,60,41.8408,-69.9849
02643,1,10,41.7843,-69.962
02646,2,125,41.6703,-70.0722
02648,3,80,41.6703,-70.4163
02649,3,143,41.6181,-70.4854
02650,1,10,41.703,-69.9666
02653,3,29,41.7792,-69.9822
02655,1,50,41.63,-70.3837
02657,2,50,42.0534,-70.1865
02659,1,25,41.6801,-70.0241
02660,3,60,41.7097,-70.1585
02662,1,50,41.7567,-69.9841
02664,2,164,41.6739,-70.1949
02666,2,125,41.9988,-70.0564
02667,7,385,41.9289,-70.0186
02668,2,35,41.7002,-70.372
02673,4,195,41.6614,-70.2363
02675,1,50,41.7051,-70.227
02703,3,125,41.9296,-71.3009
02715,1,25,41.8125,-71.1427
02718,1,25,41.8736,-71.0192
02719,2,15,41.6409,-70.8896
02720,2,20,41.7182,-71.14
02721,1,25,41.6883,-71.1574
02726,1,25,41.756,-71.1492
02738,6,420,41.7095,-70.7613
02739,3,80,41.6618,-70.8164
02740,2,310,41.6347,-70.9372
02743,2,50,41.6997,-70.9087
02745,1,10,41.6913,-70.9355
02747,3,145,41.6338,-70.9958
02760,4,225,41.9775,-71.3298
02762,3,300,42.0124,-71.3275
02764,1,100,41.8529,-71.1485
02767,1,10,41.9324,-71.0469
02769,7,395,41.8515,-71.2545
02770,1,10,41.7591,-70.8523
02771,4,70,41.8378,-71.3224
02777,3,160,41.7473,-71.2122
02780,2,35,41.905,-71.1026
02790,4,175,41.6211,-71.089
02791,1,50,41.5191,-71.0851
02800,1,20,,
02803,1,5,,
02806,8,395,41.7443,-71.3175
02807,2,75,41.1715,-71.5748
02809,1,100,41.6825,-71.2676
02813,3,45,41.4007,-71.6615
02814,2,200,41.9155,-71.6795
02815,1,50,41.7778,-71.6706
02816,1,10,41.6914,-71.5768
02818,11,485,41.6498,-71.47399999999999
02820,1,10,,
02829,1,50,41.8793,-71.5894
02835,4,235,41.5164,-71.3761
02840,12,630,41.4876,-71.3271
02842,1,10,41.5198,-71.2731
02852,5,285,41.5894,-71.4625
02857,1,10,41.8439,-71.6242
02859,1,50,41.9627,-71.7099
02860,9,725,41.8729,-71.3907
02864,2,155,41.9484,-71.4154
02865,5,1160,41.9089,-71.4348
02871,6,510,41.5944,-71.252
02874,3,60,41.5105,-71.4427
02878,2,250,41.6338,-71.1808
02879,16,715,41.4437,-71.5342
02881,1,50,41.4803,-71.5292
02882,5,185,41.4353,-71.4616
02885,2,125,41.7256,-71.2702
02886,6,775,41.7026,-71.4476
02889,4,155,41.7141,-71.3901
02891,6,285,41.3691,-71.8126
02892,2,110,41.5058,-71.6211
02893,3,115,41.7004,-71.5183
02895,11,710,41.9846,-71.5194
02896,2,35,41.9724,-71.5508
02901,1,10,41.8228,-71.4145
02903,6,1145,41.82,-71.4158
02904,2,60,41.8541,-71.4378
02905,13,1185,41.7845,-71.3959
02906,43,2467,41.8351,-71.3971
02907,9,350,41.7971,-71.4255
02908,10,185,41.8383,-71.4377
02909,4,95,41.8206,-71.4443
02910,4,90,41.7766,-71.4383
02914,1,10,41.8138,-71.3688
02915,3,150,41.7723,-71.3542
02917,1,25,41.8964,-71.5207
02919,1,1000,41.8274,-71.52
02921,2,100,41.7614,-71.5061
03006,1,25,,
03008,1,10,,
03011,1,50,,
03031,8,385,42.8569,-71.6075
03032,3,160,42.9925,-71.3449
03033,4,170,42.7384,-71.6663
03037,4,45,43.1378,-71.2513
03038,4,85,42.8874,-71.30199999999999
03042,1,10,43.0411,-71.0764
03045,5,320,43.0201,-71.5697
03047,1,50,42.9493,-71.8728
03048,4,175,42.7482,-71.7619
03049,6,450,42.7485,-71.5772
03051,5,110,42.769,-71.4121
03053,9,550,42.8656,-71.3772
03054,5,210,42.8667,-71.5128
03055,7,320,42.8285,-71.6606
03056,1,10,,
03057,2,200,42.8976,-71.6762
03060,11,555,42.7564,-71.4667
03062,18,1265,42.7235,-71.4893
03063,6,380,42.7717,-71.5132
03064,7,609,42.778999999999996,-71.4748
03065,2,90,,
03068,2,110,,
03070,3,100,42.9722,-71.6864
03076,4,175,42.7288,-71.3046
03077,2,50,43.0325,-71.1912
03078,2,75,,
03079,9,604,42.7846,-71.2176
03082,2,50,42.8954,-71.7744
03084,1,50,42.82,-71.8523
03086,4,350,42.8368,-71.7541
03087,2,150,42.8051,-71.3067
03101,5,760,42.9929,-71.4633
03102,1,10,42.9944,-71.4884
03103,4,70,42.9656,-71.4493
03104,11,550,43.0073,-71.4482
03106,2,20,43.0617,-71.4444
03109,1,10,42.9713,-71.4135
03110,8,295,42.9403,-71.5213
03180,1,20,,
03181,1,100,,
03182,1,20,,
03186,1,10,,
03205,1,100,,
03212,1,50,,
03219,1,25,,
03220,1,10,43.4512,-71.48899999999999
03221,1,200,43.2517,-71.9617
03222,3,175,43.611999999999995,-71.7507
03223,1,10,43.8418,-71.6652
03224,3,115,43.357,-71.557
03225,1,20,43.3566,-71.2424
03226,2,200,43.7107,-71.4797
03227,1,10,43.8162,-71.4506
03229,3,95,43.1978,-71.6968
03230,1,50,43.5115,-71.8691
03235,2,100,43.4426,-71.6491
03241,1,10,43.7186,-71.827
03242,1,25,43.1791,-71.8159
03244,1,25,43.1207,-71.9028
03246,2,200,43.5727,-71.4781
03249,1,25,43.5475,-71.4072
03251,1,10,44.0582,-71.6727
03253,1,10,43.6311,-71.4997
03254,2,20,43.7281,-71.3922
03255,1,50,43.3217,-72.0118
03257,6,1100,43.4145,-71.9857
03259,5,730,43.8452,-71.385
03261,5,185,43.207,-71.2004
03264,4,350,43.7635,-71.6847
03273,1,25,43.3042,-71.9289
03276,2,15,43.4603,-71.5774
03281,1,50,43.0714,-71.7038
03287,5,360,43.4485,-71.9158
03290,1,10,43.1196,-71.111
03301,4,95,43.2185,-71.5277
03302,1,50,43.3103,-71.6629
03303,1,10,43.2817,-71.6595
03304,1,100,43.1388,-71.5448
03307,1,10,43.3193,-71.467
