zip,dollars,timestamp,date,city,state,latitude,longitude
00120,30,"",7/4/14,Ber,0,"",""
00120,20,"",5/15/14,Ber,0,"",""
94705,1000,"",7/4/14,Berkeley,CA,37.8571,-122.25
"",100,"",5/15/14,Berkeley,CA,"",""
94703,10,"",7/4/14,Berkeley,CA,37.863,-122.2749
10437,100,"",5/6/14,Berlin,0,"",""
10627,50,"",6/22/14,Berlin,0,"",""
10405,25,"",7/4/14,berlin,0,"",""
10407,10,"",6/12/14,Berlin,0,"",""
10559,10,"",7/4/14,Berlin,0,41.119,-73.733
12049,5,"",7/3/14,Berlin,0,"",""
10999,5,"",6/15/14,Berlin Kreuzberg,0,"",""
58503,100,"",6/26/14,Bismarck,0,46.8394,-100.7843
47401,50,"",7/5/14,Bloomington,0,39.1401,-86.5083
17185,10,"",7/2/14,Bloomsburg,0,"",""
02126,3,"",7/4/14,Bo,0,42.2739,-71.0939
83174,15,"",6/13/14,Boise,0,"",""
05437,1000,"",7/5/14,Boothbay,0,"",""
"",25,"",7/1/14,Boulder,0,"",""
"",10,"",7/4/14,BRAGG,0,"",""
09312,200,"",7/1/14,BREMERTON,0,"",""
11201,100,"",5/9/14,brooklyn,NY,40.694,-73.9903
11216,50,"",7/2/14,Brooklyn,NY,40.6794,-73.9496
11213,25,"",5/9/14,Brooklyn,NY,40.67,-73.9366
11213,25,"",6/15/14,Brooklyn,NY,40.67,-73.9366
11213,25,"",7/4/14,Brooklyn,NY,40.67,-73.9366
11216,15,"",5/13/14,Brooklyn,NY,40.6794,-73.9496
00000,10,"",5/11/14,Brown,0,"",""
00000,10,"",7/3/14,Brown,0,"",""
01022,10,"",7/5/14,Budapest,0,42.1934,-72.5544
01195,10,"",7/7/14,Budapest,0,42.1029,-72.5921
"",500,"",7/5/14,"Bunkyo-ku, Tokyo",0,"",""
98148,10,"",7/4/14,Burien,0,47.4441,-122.3249
"",25,"",7/7/14,"burlington,wi",0,"",""
"",200,"",5/28/14,Palm Springs,CA,"",""
"",150,"",6/22/14,Campbell,CA,"",""
"",150,"",5/7/14,San Diego,CA,"",""
"",100,"",6/20/14,Fairfax,CA,"",""
"",100,"",7/4/14,Fresno,CA,"",""
"",100,"",5/9/14,los angeles,ca,"",""
"",100,"",6/4/14,los angeles,ca,"",""
"",100,"",6/28/14,Palm Springs,CA,"",""
"",100,"",6/5/14,Oakland,CA,"",""
"",100,"",6/19/14,Covina ,CA,"",""
"",100,"",7/4/14,San Mateo,CA,"",""
"",100,"",7/4/14,Greenbrae,ca,"",""
"",100,"",6/15/14,Montrose,CA,"",""
"",100,"",6/19/14,Albany,CA,"",""
"",100,"",7/4/14,Los Altos Hills,CA,"",""
"",100,"",7/5/14,Oakland,CA,"",""
"",100,"",6/20/14,San Francisco,CA,"",""
"",50,"",6/4/14,San Francisco,CA,"",""
"",50,"",6/13/14,woodside,ca,"",""
"",50,"",5/10/14,Sunnyvale,CA,"",""
"",50,"",7/4/14,Rancho Palos Verdes,CA,"",""
"",50,"",7/4/14,Redding,CA,"",""
"",25,"",7/4/14,Santa Barbara,CA,"",""
"",25,"",7/4/14,woodside,ca,"",""
"",25,"",7/4/14,Torrance,CA,"",""
"",25,"",7/1/14,San Rafael,CA,"",""
"",25,"",7/4/14,Mendocino,CA,"",""
"",25,"",7/2/14,Beverly Hills ,CA,"",""
"",25,"",7/4/14,Woodland HIlls,CA,"",""
"",25,"",7/4/14,Carmel,CA,"",""
"",20,"",7/4/14,San Rafael,Ca,"",""
"",10,"",5/18/14,Covina ,CA,"",""
"",10,"",7/4/14,Oakland,CA,"",""
"",10,"",5/10/14,pebble beach,CA,"",""
"",5,"",6/23/14,Glendora,CA,"",""
"",5,"",6/24/14,Oakland,CA,"",""
"",50,"",6/18/14,Palmdale,CA  93551,"",""
"",100,"",7/4/14,Modesto,CA  95352,"",""
"",10,"",7/2/14,Santa Monica,CA 90406,"",""
"",100,"",6/8/14,Irvine,CA 92616,"",""
"",25,"",7/4/14,Benicia,CA 94510,"",""
"",50,"",6/30/14,Cairo,0,"",""
"",25,"",6/8/14,,CA,"",""
"",100,"",7/4/14,Fairfield,CA,"",""
"",10,"",7/1/14,Walnut,CA,"",""
02138,10,"",7/4/14,California,MA,42.377,-71.1256
02138,100,"",5/12/14,Cambridge,MA,42.377,-71.1256
02138,100,"",7/3/14,Cambridge,MA,42.377,-71.1256
"",10,"",7/1/14,Cambridge,0,"",""
09500,25,"",6/30/14,campbell,0,"",""
"",100,"",7/4/14,Canaan,CA,"",""
"",100,"",6/11/14,Capistrano Beach,0,"",""
62900,50,"",7/4/14,Carbondale,0,"",""
01741,10,"",6/6/14,Carlisle,0,42.5286,-71.3519
62918,25,"",6/6/14,Carterville,0,37.7748,-89.0978
28760,25,"",7/4/14,Castillo De Vi̱uelas,0,35.3817,-82.4813
00000,10,"",7/4/14,Castlepollard,0,"",""
08003,100,"",5/6/14,Cherry Hill,0,39.8805,-74.9706
60660,20,"",6/14/14,Chicago,IL,41.9909,-87.6629
60637,150,"",5/10/14,Chicago,IL,41.7813,-87.6051
"",50,"",6/12/14,chicago,IL,"",""
08081,100,"",5/14/14,Christchurch,0,39.7354,-74.9864
08081,50,"",7/4/14,Christchurch,0,39.7354,-74.9864
08041,25,"",7/4/14,Christchurch,0,40.0387,-74.6873
08011,5,"",6/21/14,Christchurch,0,39.976,-74.7114
44135,50,"",6/23/14,Cleveland,0,41.4342,-81.8044
44160,100,"",6/23/14,Cleveland Heights,0,"",""
"",100,"",6/30/14,co,0,"",""
"",100,"",6/28/14,CO,0,"",""
"",100,"",7/4/14,CO,0,"",""
"",50,"",7/23/14,CO,0,"",""
"",50,"",7/1/14,co,0,"",""
"",25,"",7/4/14,co,0,"",""
"",10,"",6/25/14,Co,0,"",""
"",100,"",5/13/14,Colorado,0,"",""
93520,5,"",6/29/14,Concord,0,"",""
33330,10,"",7/5/14,Cooper city,0,26.0663,-80.3339
20042,10,"",7/4/14,Craiova,0,38.8933,-77.0146
"",150,"",5/10/14,CT,0,"",""
20155,30,"",5/10/14,D.N. Misgav,0,38.8157,-77.6216
09262,100,"",5/7/14,Dana point,0,"",""
95616,50,"",7/4/14,Davis,0,38.5538,-121.7418
95616,50,"",7/4/14,Davis,0,38.5538,-121.7418
"",100,"",7/5/14,DC,0,"",""
"",100,"",7/3/14,De,0,"",""
"",100,"",7/4/14,Den Haag,0,"",""
70706,10,"",7/4/14,Denham Springs,0,30.6085,-90.9038
89231,10,"",7/4/14,Denver,0,"",""
80320,3,"",7/5/14,Denver,0,"",""
00624,10,"",7/3/14,Devonport,0,"",""
95169,10,"",7/4/14,Diamond Springs,0,"",""
20001,300,"",5/16/14,Donostia-San Sebastian,0,38.9122,-77.0177
00003,2,"",7/5/14,Dover,0,"",""
34004,50,"",7/4/14,DPO,0,"",""
34033,10,"",7/4/14,DPO,0,"",""
09823,10,"",7/5/14,DPO,0,"",""
00006,100,"",7/4/14,dublin,0,"",""
"",50,"",6/21/14,Dublin,0,"",""
00020,15,"",6/27/14,Dublin,0,"",""
00006,10,"",7/3/14,Dublin,0,"",""
00014,10,"",7/4/14,Dublin,0,"",""
"",25,"",6/22/14,Duivendrecht,0,"",""
27707,10,"",7/7/14,Durham,0,35.9631,-78.9315
27705,50,"",7/5/14,"Durham, NC",0,36.0218,-78.9478
08816,25,"",7/4/14,east Brunswick,0,40.4284,-74.4064
02016,10,"",7/4/14,East Tamaki,0,"",""
00001,20,"",6/5/14,Easthampton,0,"",""
90926,100,"",7/3/14,"Ellensburg, WA",0,"",""
21043,100,"",6/13/14,Ellicott City,0,39.2548,-76.8001
21043,50,"",7/4/14,Ellicott City,0,39.2548,-76.8001
99098,100,"",7/4/14,Erfurt,0,"",""
92027,35,"",7/3/14,Escondido,0,33.1388,-117.052
07404,50,"",7/17/14,Eugene,0,"",""
"",50,"",7/2/14,Eugene,0,"",""
82632,25,"",7/4/14,Eureka Springs,0,"",""
99079,100,"",7/4/14,Fairbanks,0,"",""
14612,100,"",5/6/14,Falkensee,0,43.2566,-77.6652
58100,5,"",7/4/14,Fargo,0,"",""
13066,25,"",7/4/14,Fayetteville,0,43.0268,-76.0145
